isbn,author,genre,publication_year
1000000000001,A. Writer,Fantasy,2001
1000000000002,D. Teller,Mystery,1994
1000000000003,B. Author,Sci‑Fi,2010
1000000000004,B. Author,Sci‑Fi,1993
1000000000005,A. Writer,Mystery,2016
1000000000006,C. Scribe,History,1995
1000000000007,D. Teller,Sci‑Fi,2011
1000000000008,B. Author,Romance,2017
1000000000009,A. Writer,Fantasy,2015
1000000000010,B. Author,Sci‑Fi,2016
1000000000011,D. Teller,Mystery,2019
1000000000012,B. Author,Fantasy,2008
1000000000013,C. Scribe,Mystery,2017
1000000000014,C. Scribe,Sci‑Fi,1996
1000000000015,B. Author,Mystery,2017
1000000000016,B. Author,Fantasy,2006
1000000000017,B. Author,Sci‑Fi,2001
1000000000018,D. Teller,Mystery,1994
1000000000019,E. Story,Fantasy,1998
1000000000020,C. Scribe,Mystery,1995
